epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582744536752,2020-02-26T14.15.36.752,0.000,-0.613,0.779,-0.022
1582744536831,2020-02-26T14.15.36.831,0.079,-0.618,0.785,-0.022
1582744536910,2020-02-26T14.15.36.910,0.158,-0.616,0.784,-0.022
1582744536989,2020-02-26T14.15.36.989,0.237,-0.617,0.784,-0.023
1582744537068,2020-02-26T14.15.37.068,0.316,-0.617,0.784,-0.022
1582744537149,2020-02-26T14.15.37.149,0.397,-0.617,0.784,-0.023
1582744537228,2020-02-26T14.15.37.228,0.476,-0.616,0.784,-0.022
1582744537307,2020-02-26T14.15.37.307,0.555,-0.617,0.785,-0.023
1582744537386,2020-02-26T14.15.37.386,0.634,-0.617,0.784,-0.022
1582744537465,2020-02-26T14.15.37.465,0.713,-0.618,0.784,-0.021
1582744537544,2020-02-26T14.15.37.544,0.792,-0.617,0.785,-0.023
1582744537623,2020-02-26T14.15.37.623,0.871,-0.618,0.784,-0.023
1582744537704,2020-02-26T14.15.37.704,0.952,-0.617,0.783,-0.022
1582744537783,2020-02-26T14.15.37.783,1.031,-0.616,0.786,-0.022
1582744537862,2020-02-26T14.15.37.862,1.110,-0.617,0.784,-0.022
1582744537941,2020-02-26T14.15.37.941,1.189,-0.618,0.782,-0.023
1582744538020,2020-02-26T14.15.38.020,1.268,-0.616,0.785,-0.022
1582744538099,2020-02-26T14.15.38.099,1.347,-0.617,0.784,-0.022
1582744538180,2020-02-26T14.15.38.180,1.428,-0.618,0.783,-0.023
1582744538259,2020-02-26T14.15.38.259,1.507,-0.616,0.786,-0.021
1582744538338,2020-02-26T14.15.38.338,1.586,-0.618,0.784,-0.022
1582744538417,2020-02-26T14.15.38.417,1.665,-0.618,0.784,-0.023
1582744538496,2020-02-26T14.15.38.496,1.744,-0.617,0.785,-0.022
1582744538575,2020-02-26T14.15.38.575,1.823,-0.616,0.785,-0.023
1582744538654,2020-02-26T14.15.38.654,1.902,-0.617,0.783,-0.021
1582744538735,2020-02-26T14.15.38.735,1.983,-0.615,0.786,-0.023
1582744538814,2020-02-26T14.15.38.814,2.062,-0.617,0.784,-0.023
1582744538893,2020-02-26T14.15.38.893,2.141,-0.617,0.784,-0.022
1582744538972,2020-02-26T14.15.38.972,2.220,-0.616,0.785,-0.023
1582744539051,2020-02-26T14.15.39.051,2.299,-0.617,0.784,-0.023
1582744539131,2020-02-26T14.15.39.131,2.379,-0.618,0.784,-0.022
1582744539211,2020-02-26T14.15.39.211,2.459,-0.617,0.785,-0.023
1582744539290,2020-02-26T14.15.39.290,2.538,-0.616,0.785,-0.022
1582744539369,2020-02-26T14.15.39.369,2.617,-0.617,0.784,-0.022
1582744539448,2020-02-26T14.15.39.448,2.696,-0.617,0.784,-0.022
1582744539528,2020-02-26T14.15.39.528,2.776,-0.616,0.785,-0.023
1582744539607,2020-02-26T14.15.39.607,2.855,-0.617,0.785,-0.022
1582744539687,2020-02-26T14.15.39.687,2.935,-0.617,0.783,-0.022
1582744539766,2020-02-26T14.15.39.766,3.014,-0.616,0.785,-0.023
1582744539845,2020-02-26T14.15.39.845,3.093,-0.617,0.784,-0.023
1582744539925,2020-02-26T14.15.39.925,3.173,-0.618,0.783,-0.021
1582744540004,2020-02-26T14.15.40.004,3.252,-0.616,0.785,-0.022
1582744540083,2020-02-26T14.15.40.083,3.331,-0.616,0.785,-0.022
1582744540163,2020-02-26T14.15.40.163,3.411,-0.618,0.784,-0.021
1582744540242,2020-02-26T14.15.40.242,3.490,-0.617,0.785,-0.023
1582744540321,2020-02-26T14.15.40.321,3.569,-0.617,0.785,-0.022
1582744540401,2020-02-26T14.15.40.401,3.649,-0.617,0.783,-0.022
1582744540480,2020-02-26T14.15.40.480,3.728,-0.616,0.786,-0.022
1582744540559,2020-02-26T14.15.40.559,3.807,-0.616,0.785,-0.022
1582744540639,2020-02-26T14.15.40.639,3.887,-0.617,0.784,-0.022
1582744540718,2020-02-26T14.15.40.718,3.966,-0.616,0.785,-0.023
1582744540798,2020-02-26T14.15.40.798,4.046,-0.616,0.785,-0.022
